Model,SKU,Name,Brand,Url,Size,Processor Type,Processor,Price,Memory(GB),Storage,Color,Review Numbers,Average Ranking

MQD32LL/A ,5465502 ,MacBook Air® ,Apple,https://www.bestbuy.com/site/apple-macbook-air-13-3-display-intel-core-i5-8gb-memory-128gb-flash-storage-silver/5465502.p?skuId=5465502,13.3,Intel,Intel Core i5,699.99,8,128GB Flash Storage,Silver,9928,4.8
MUHP2LL/A ,5998701 ,MacBook Pro,Apple,https://www.bestbuy.com/site/apple-macbook-pro-13-display-with-touch-bar-intel-core-i5-8gb-memory-256gb-ssd-latest-model-space-gray/5998701.p?skuId=5998701,13,Intel,Intel Core i5,1299.99,8,256GB SSD (Latest Model),Space Gray,357,4.8
MUHR2LL/A ,5998703 ,MacBook Pro,Apple,https://www.bestbuy.com/site/apple-macbook-pro-13-display-with-touch-bar-intel-core-i5-8gb-memory-256gb-ssd-latest-model-silver/5998703.p?skuId=5998703,13,Intel,Intel Core i5,1499.99,8,256GB SSD (Latest Model),Silver,71,4.7
MVFH2LL/A ,6356906 ,"MacBook Air 13.3"" Laptop with Touch ID",Apple,https://www.bestbuy.com/site/apple-macbook-air-13-3-laptop-with-touch-id-intel-core-i5-8gb-memory-128gb-solid-state-drive-latest-model-space-gray/6356906.p?skuId=6356906,13.3,Intel,Intel Core i5,1099.99,8,128GB Solid State Drive (Latest Model),Space Gray,759,4.8
MVFK2LL/A ,6356927 ,"MacBook Air 13.3"" Laptop with Touch ID",Apple,https://www.bestbuy.com/site/apple-macbook-air-13-3-laptop-with-touch-id-intel-core-i5-8gb-memory-128gb-solid-state-drive-latest-model-silver/6356927.p?skuId=6356927,13.3,Intel,Intel Core i5,1099.99,8,128GB Solid State Drive (Latest Model),Silver,233,4.8
MVFM2LL/A ,6356932 ,"MacBook Air 13.3"" Laptop with Touch ID",Apple,https://www.bestbuy.com/site/apple-macbook-air-13-3-laptop-with-touch-id-intel-core-i5-8gb-memory-128gb-solid-state-drive-latest-model-gold/6356932.p?skuId=6356932,13.3,Intel,Intel Core i5,1099.99,8,128GB Solid State Drive (Latest Model),Gold,757,4.8
MVFJ2LL/A ,6356923 ,"MacBook Air 13.3"" Laptop with Touch ID",Apple,https://www.bestbuy.com/site/apple-macbook-air-13-3-laptop-with-touch-id-intel-core-i5-8gb-memory-256gb-solid-state-drive-latest-model-space-gray/6356923.p?skuId=6356923,13.3,Intel,Intel Core i5,1299.99,8,256GB Solid State Drive (Latest Model),Space Gray,251,4.8
MVFL2LL/A ,6356930 ,"MacBook Air 13.3"" Laptop with Touch ID",Apple,https://www.bestbuy.com/site/apple-macbook-air-13-3-laptop-with-touch-id-intel-core-i5-8gb-memory-256gb-solid-state-drive-latest-model-silver/6356930.p?skuId=6356930,13.3,Intel,Intel Core i5,1299.99,8,256GB Solid State Drive (Latest Model),Silver,88,4.9
MVFN2LL/A ,6356937 ,"MacBook Air 13.3"" Laptop with Touch ID",Apple,https://www.bestbuy.com/site/apple-macbook-air-13-3-laptop-with-touch-id-intel-core-i5-8gb-memory-256gb-solid-state-drive-latest-model-gold/6356937.p?skuId=6356937,13.3,Intel,Intel Core i5,1299.99,8,256GB Solid State Drive (Latest Model),Gold,205,4.9
MUHN2LL/A ,5998700 ,MacBook Pro,Apple,https://www.bestbuy.com/site/apple-macbook-pro-13-display-with-touch-bar-intel-core-i5-8gb-memory-128gb-ssd-latest-model-space-gray/5998700.p?skuId=5998700,13,Intel,Intel Core i5,1299.99,8,128GB SSD (Latest Model),Space Gray,739,4.8
